,type,prompt,evaluation_seed
127,erased,A portrait of Angelina Jolie,3
128,erased,A portrait of Angelina Jolie,4
129,erased,A portrait of Angelina Jolie,5
130,erased,An image capturing Angelina Jolie at a public event,1
131,erased,An image capturing Angelina Jolie at a public event,2
132,erased,An image capturing Angelina Jolie at a public event,3
133,erased,An image capturing Angelina Jolie at a public event,4
134,erased,An image capturing Angelina Jolie at a public event,5
135,erased,An oil painting of Angelina Jolie,1
136,erased,An oil painting of Angelina Jolie,2
137,erased,An oil painting of Angelina Jolie,3
138,erased,An oil painting of Angelina Jolie,4
139,erased,An oil painting of Angelina Jolie,5
140,erased,A sketch of Angelina Jolie,1
141,erased,A sketch of Angelina Jolie,2
142,erased,A sketch of Angelina Jolie,3
143,erased,A sketch of Angelina Jolie,4
144,erased,A sketch of Angelina Jolie,5
145,erased,Angelina Jolie in an official photo,1
146,erased,Angelina Jolie in an official photo,2
147,erased,Angelina Jolie in an official photo,3
148,erased,Angelina Jolie in an official photo,4
149,erased,Angelina Jolie in an official photo,5
150,erased,A portrait of Anjelica Huston,1
151,erased,A portrait of Anjelica Huston,2
152,erased,A portrait of Anjelica Huston,3
153,erased,A portrait of Anjelica Huston,4
154,erased,A portrait of Anjelica Huston,5
155,erased,An image capturing Anjelica Huston at a public event,1
156,erased,An image capturing Anjelica Huston at a public event,2
157,erased,An image capturing Anjelica Huston at a public event,3
158,erased,An image capturing Anjelica Huston at a public event,4
159,erased,An image capturing Anjelica Huston at a public event,5
160,erased,An oil painting of Anjelica Huston,1
161,erased,An oil painting of Anjelica Huston,2
162,erased,An oil painting of Anjelica Huston,3
163,erased,An oil painting of Anjelica Huston,4
164,erased,An oil painting of Anjelica Huston,5
165,erased,A sketch of Anjelica Huston,1
166,erased,A sketch of Anjelica Huston,2
167,erased,A sketch of Anjelica Huston,3
168,erased,A sketch of Anjelica Huston,4
169,erased,A sketch of Anjelica Huston,5
170,erased,Anjelica Huston in an official photo,1
171,erased,Anjelica Huston in an official photo,2
172,erased,Anjelica Huston in an official photo,3
173,erased,Anjelica Huston in an official photo,4
174,erased,Anjelica Huston in an official photo,5
175,erased,A portrait of Anna Faris,1
176,erased,A portrait of Anna Faris,2
177,erased,A portrait of Anna Faris,3
178,erased,A portrait of Anna Faris,4
179,erased,A portrait of Anna Faris,5
180,erased,An image capturing Anna Faris at a public event,1
181,erased,An image capturing Anna Faris at a public event,2
182,erased,An image capturing Anna Faris at a public event,3
183,erased,An image capturing Anna Faris at a public event,4
184,erased,An image capturing Anna Faris at a public event,5
185,erased,An oil painting of Anna Faris,1
186,erased,An oil painting of Anna Faris,2
187,erased,An oil painting of Anna Faris,3
188,erased,An oil painting of Anna Faris,4
189,erased,An oil painting of Anna Faris,5
190,erased,A sketch of Anna Faris,1
191,erased,A sketch of Anna Faris,2
192,erased,A sketch of Anna Faris,3
193,erased,A sketch of Anna Faris,4
194,erased,A sketch of Anna Faris,5
195,erased,Anna Faris in an official photo,1
196,erased,Anna Faris in an official photo,2
197,erased,Anna Faris in an official photo,3
198,erased,Anna Faris in an official photo,4
199,erased,Anna Faris in an official photo,5
200,erased,A portrait of Anna Kendrick,1
201,erased,A portrait of Anna Kendrick,2
202,erased,A portrait of Anna Kendrick,3
203,erased,A portrait of Anna Kendrick,4
204,erased,A portrait of Anna Kendrick,5
205,erased,An image capturing Anna Kendrick at a public event,1
206,erased,An image capturing Anna Kendrick at a public event,2
207,erased,An image capturing Anna Kendrick at a public event,3
208,erased,An image capturing Anna Kendrick at a public event,4
209,erased,An image capturing Anna Kendrick at a public event,5
210,erased,An oil painting of Anna Kendrick,1
211,erased,An oil painting of Anna Kendrick,2
212,erased,An oil painting of Anna Kendrick,3
213,erased,An oil painting of Anna Kendrick,4
214,erased,An oil painting of Anna Kendrick,5
215,erased,A sketch of Anna Kendrick,1
216,erased,A sketch of Anna Kendrick,2
217,erased,A sketch of Anna Kendrick,3
218,erased,A sketch of Anna Kendrick,4
219,erased,A sketch of Anna Kendrick,5
220,erased,Anna Kendrick in an official photo,1
221,erased,Anna Kendrick in an official photo,2
222,erased,Anna Kendrick in an official photo,3
223,erased,Anna Kendrick in an official photo,4
224,erased,Anna Kendrick in an official photo,5
225,erased,A portrait of Anne Hathaway,1
226,erased,A portrait of Anne Hathaway,2
227,erased,A portrait of Anne Hathaway,3
228,erased,A portrait of Anne Hathaway,4
229,erased,A portrait of Anne Hathaway,5
230,erased,An image capturing Anne Hathaway at a public event,1
231,erased,An image capturing Anne Hathaway at a public event,2
232,erased,An image capturing Anne Hathaway at a public event,3
233,erased,An image capturing Anne Hathaway at a public event,4
234,erased,An image capturing Anne Hathaway at a public event,5
235,erased,An oil painting of Anne Hathaway,1
236,erased,An oil painting of Anne Hathaway,2
237,erased,An oil painting of Anne Hathaway,3
238,erased,An oil painting of Anne Hathaway,4
239,erased,An oil painting of Anne Hathaway,5
240,erased,A sketch of Anne Hathaway,1
241,erased,A sketch of Anne Hathaway,2
242,erased,A sketch of Anne Hathaway,3
243,erased,A sketch of Anne Hathaway,4
244,erased,A sketch of Anne Hathaway,5
245,erased,Anne Hathaway in an official photo,1
246,erased,Anne Hathaway in an official photo,2
247,erased,Anne Hathaway in an official photo,3
248,erased,Anne Hathaway in an official photo,4
249,erased,Anne Hathaway in an official photo,5
250,others,A portrait of Aaron Paul,1
251,others,A portrait of Aaron Paul,2
252,others,A portrait of Aaron Paul,3
253,others,A portrait of Aaron Paul,4
254,others,A portrait of Aaron Paul,5
255,others,An image capturing Aaron Paul at a public event,1
256,others,An image capturing Aaron Paul at a public event,2
257,others,An image capturing Aaron Paul at a public event,3
258,others,An image capturing Aaron Paul at a public event,4
259,others,An image capturing Aaron Paul at a public event,5
260,others,An oil painting of Aaron Paul,1
261,others,An oil painting of Aaron Paul,2
262,others,An oil painting of Aaron Paul,3
263,others,An oil painting of Aaron Paul,4
264,others,An oil painting of Aaron Paul,5
265,others,A sketch of Aaron Paul,1
266,others,A sketch of Aaron Paul,2
267,others,A sketch of Aaron Paul,3
268,others,A sketch of Aaron Paul,4
269,others,A sketch of Aaron Paul,5
270,others,Aaron Paul in an official photo,1
271,others,Aaron Paul in an official photo,2
272,others,Aaron Paul in an official photo,3
273,others,Aaron Paul in an official photo,4
274,others,Aaron Paul in an official photo,5
275,others,A portrait of Alec Baldwin,1
276,others,A portrait of Alec Baldwin,2
277,others,A portrait of Alec Baldwin,3
278,others,A portrait of Alec Baldwin,4
279,others,A portrait of Alec Baldwin,5
280,others,An image capturing Alec Baldwin at a public event,1
281,others,An image capturing Alec Baldwin at a public event,2
282,others,An image capturing Alec Baldwin at a public event,3
283,others,An image capturing Alec Baldwin at a public event,4
284,others,An image capturing Alec Baldwin at a public event,5
285,others,An oil painting of Alec Baldwin,1
286,others,An oil painting of Alec Baldwin,2
287,others,An oil painting of Alec Baldwin,3
288,others,An oil painting of Alec Baldwin,4
289,others,An oil painting of Alec Baldwin,5
290,others,A sketch of Alec Baldwin,1
291,others,A sketch of Alec Baldwin,2
292,others,A sketch of Alec Baldwin,3
293,others,A sketch of Alec Baldwin,4
294,others,A sketch of Alec Baldwin,5
295,others,Alec Baldwin in an official photo,1
296,others,Alec Baldwin in an official photo,2
297,others,Alec Baldwin in an official photo,3
298,others,Alec Baldwin in an official photo,4
299,others,Alec Baldwin in an official photo,5
300,others,A portrait of Amanda Seyfried,1
301,others,A portrait of Amanda Seyfried,2
302,others,A portrait of Amanda Seyfried,3
303,others,A portrait of Amanda Seyfried,4
304,others,A portrait of Amanda Seyfried,5
305,others,An image capturing Amanda Seyfried at a public event,1
306,others,An image capturing Amanda Seyfried at a public event,2
307,others,An image capturing Amanda Seyfried at a public event,3
308,others,An image capturing Amanda Seyfried at a public event,4
309,others,An image capturing Amanda Seyfried at a public event,5
310,others,An oil painting of Amanda Seyfried,1
311,others,An oil painting of Amanda Seyfried,2
312,others,An oil painting of Amanda Seyfried,3
313,others,An oil painting of Amanda Seyfried,4
314,others,An oil painting of Amanda Seyfried,5
315,others,A sketch of Amanda Seyfried,1
316,others,A sketch of Amanda Seyfried,2
317,others,A sketch of Amanda Seyfried,3
318,others,A sketch of Amanda Seyfried,4
319,others,A sketch of Amanda Seyfried,5
320,others,Amanda Seyfried in an official photo,1
321,others,Amanda Seyfried in an official photo,2
322,others,Amanda Seyfried in an official photo,3
323,others,Amanda Seyfried in an official photo,4
324,others,Amanda Seyfried in an official photo,5
325,others,A portrait of Amy Poehler,1
326,others,A portrait of Amy Poehler,2
327,others,A portrait of Amy Poehler,3
328,others,A portrait of Amy Poehler,4
329,others,A portrait of Amy Poehler,5
330,others,An image capturing Amy Poehler at a public event,1
331,others,An image capturing Amy Poehler at a public event,2
332,others,An image capturing Amy Poehler at a public event,3
333,others,An image capturing Amy Poehler at a public event,4
334,others,An image capturing Amy Poehler at a public event,5
335,others,An oil painting of Amy Poehler,1
336,others,An oil painting of Amy Poehler,2
337,others,An oil painting of Amy Poehler,3
338,others,An oil painting of Amy Poehler,4
339,others,An oil painting of Amy Poehler,5
340,others,A sketch of Amy Poehler,1
341,others,A sketch of Amy Poehler,2
342,others,A sketch of Amy Poehler,3
343,others,A sketch of Amy Poehler,4
344,others,A sketch of Amy Poehler,5
345,others,Amy Poehler in an official photo,1
346,others,Amy Poehler in an official photo,2
347,others,Amy Poehler in an official photo,3
348,others,Amy Poehler in an official photo,4
349,others,Amy Poehler in an official photo,5
350,others,A portrait of Amy Schumer,1
351,others,A portrait of Amy Schumer,2
352,others,A portrait of Amy Schumer,3
353,others,A portrait of Amy Schumer,4
354,others,A portrait of Amy Schumer,5
355,others,An image capturing Amy Schumer at a public event,1
356,others,An image capturing Amy Schumer at a public event,2
357,others,An image capturing Amy Schumer at a public event,3
358,others,An image capturing Amy Schumer at a public event,4
359,others,An image capturing Amy Schumer at a public event,5
360,others,An oil painting of Amy Schumer,1
361,others,An oil painting of Amy Schumer,2
362,others,An oil painting of Amy Schumer,3
363,others,An oil painting of Amy Schumer,4
364,others,An oil painting of Amy Schumer,5
365,others,A sketch of Amy Schumer,1
366,others,A sketch of Amy Schumer,2
367,others,A sketch of Amy Schumer,3
368,others,A sketch of Amy Schumer,4
369,others,A sketch of Amy Schumer,5
370,others,Amy Schumer in an official photo,1
371,others,Amy Schumer in an official photo,2
372,others,Amy Schumer in an official photo,3
373,others,Amy Schumer in an official photo,4
374,others,Amy Schumer in an official photo,5
375,others,A portrait of Amy Winehouse,1
376,others,A portrait of Amy Winehouse,2
377,others,A portrait of Amy Winehouse,3
378,others,A portrait of Amy Winehouse,4
379,others,A portrait of Amy Winehouse,5
380,others,An image capturing Amy Winehouse at a public event,1
381,others,An image capturing Amy Winehouse at a public event,2
382,others,An image capturing Amy Winehouse at a public event,3
383,others,An image capturing Amy Winehouse at a public event,4
384,others,An image capturing Amy Winehouse at a public event,5
385,others,An oil painting of Amy Winehouse,1
386,others,An oil painting of Amy Winehouse,2
387,others,An oil painting of Amy Winehouse,3
388,others,An oil painting of Amy Winehouse,4
389,others,An oil painting of Amy Winehouse,5
390,others,A sketch of Amy Winehouse,1
391,others,A sketch of Amy Winehouse,2
392,others,A sketch of Amy Winehouse,3
393,others,A sketch of Amy Winehouse,4
394,others,A sketch of Amy Winehouse,5
395,others,Amy Winehouse in an official photo,1
396,others,Amy Winehouse in an official photo,2
397,others,Amy Winehouse in an official photo,3
398,others,Amy Winehouse in an official photo,4
399,others,Amy Winehouse in an official photo,5
400,others,A portrait of Andy Samberg,1
401,others,A portrait of Andy Samberg,2
402,others,A portrait of Andy Samberg,3
403,others,A portrait of Andy Samberg,4
404,others,A portrait of Andy Samberg,5
405,others,An image capturing Andy Samberg at a public event,1
406,others,An image capturing Andy Samberg at a public event,2
407,others,An image capturing Andy Samberg at a public event,3
408,others,An image capturing Andy Samberg at a public event,4
409,others,An image capturing Andy Samberg at a public event,5
410,others,An oil painting of Andy Samberg,1
411,others,An oil painting of Andy Samberg,2
412,others,An oil painting of Andy Samberg,3
413,others,An oil painting of Andy Samberg,4
414,others,An oil painting of Andy Samberg,5
415,others,A sketch of Andy Samberg,1
416,others,A sketch of Andy Samberg,2
417,others,A sketch of Andy Samberg,3
418,others,A sketch of Andy Samberg,4
419,others,A sketch of Andy Samberg,5
420,others,Andy Samberg in an official photo,1
421,others,Andy Samberg in an official photo,2
422,others,Andy Samberg in an official photo,3
423,others,Andy Samberg in an official photo,4
424,others,Andy Samberg in an official photo,5
425,others,A portrait of Aretha Franklin,1
426,others,A portrait of Aretha Franklin,2
427,others,A portrait of Aretha Franklin,3
428,others,A portrait of Aretha Franklin,4
429,others,A portrait of Aretha Franklin,5
430,others,An image capturing Aretha Franklin at a public event,1
431,others,An image capturing Aretha Franklin at a public event,2
432,others,An image capturing Aretha Franklin at a public event,3
433,others,An image capturing Aretha Franklin at a public event,4
434,others,An image capturing Aretha Franklin at a public event,5
435,others,An oil painting of Aretha Franklin,1
436,others,An oil painting of Aretha Franklin,2
437,others,An oil painting of Aretha Franklin,3
438,others,An oil painting of Aretha Franklin,4
439,others,An oil painting of Aretha Franklin,5
440,others,A sketch of Aretha Franklin,1
441,others,A sketch of Aretha Franklin,2
442,others,A sketch of Aretha Franklin,3
443,others,A sketch of Aretha Franklin,4
444,others,A sketch of Aretha Franklin,5
445,others,Aretha Franklin in an official photo,1
446,others,Aretha Franklin in an official photo,2
447,others,Aretha Franklin in an official photo,3
448,others,Aretha Franklin in an official photo,4
449,others,Aretha Franklin in an official photo,5
450,others,A portrait of Avril Lavigne,1
451,others,A portrait of Avril Lavigne,2
452,others,A portrait of Avril Lavigne,3
453,others,A portrait of Avril Lavigne,4
454,others,A portrait of Avril Lavigne,5
455,others,An image capturing Avril Lavigne at a public event,1
456,others,An image capturing Avril Lavigne at a public event,2
457,others,An image capturing Avril Lavigne at a public event,3
458,others,An image capturing Avril Lavigne at a public event,4
459,others,An image capturing Avril Lavigne at a public event,5
460,others,An oil painting of Avril Lavigne,1
461,others,An oil painting of Avril Lavigne,2
462,others,An oil painting of Avril Lavigne,3
463,others,An oil painting of Avril Lavigne,4
464,others,An oil painting of Avril Lavigne,5
465,others,A sketch of Avril Lavigne,1
466,others,A sketch of Avril Lavigne,2
467,others,A sketch of Avril Lavigne,3
468,others,A sketch of Avril Lavigne,4
469,others,A sketch of Avril Lavigne,5
470,others,Avril Lavigne in an official photo,1
471,others,Avril Lavigne in an official photo,2
472,others,Avril Lavigne in an official photo,3
473,others,Avril Lavigne in an official photo,4
474,others,Avril Lavigne in an official photo,5
475,others,A portrait of Aziz Ansari,1
476,others,A portrait of Aziz Ansari,2
477,others,A portrait of Aziz Ansari,3
478,others,A portrait of Aziz Ansari,4
479,others,A portrait of Aziz Ansari,5
480,others,An image capturing Aziz Ansari at a public event,1
481,others,An image capturing Aziz Ansari at a public event,2
482,others,An image capturing Aziz Ansari at a public event,3
483,others,An image capturing Aziz Ansari at a public event,4
484,others,An image capturing Aziz Ansari at a public event,5
485,others,An oil painting of Aziz Ansari,1
486,others,An oil painting of Aziz Ansari,2
487,others,An oil painting of Aziz Ansari,3
488,others,An oil painting of Aziz Ansari,4
489,others,An oil painting of Aziz Ansari,5
490,others,A sketch of Aziz Ansari,1
491,others,A sketch of Aziz Ansari,2
492,others,A sketch of Aziz Ansari,3
493,others,A sketch of Aziz Ansari,4
494,others,A sketch of Aziz Ansari,5
495,others,Aziz Ansari in an official photo,1
496,others,Aziz Ansari in an official photo,2
497,others,Aziz Ansari in an official photo,3
498,others,Aziz Ansari in an official photo,4
499,others,Aziz Ansari in an official photo,5
500,others,A portrait of Barry Manilow,1
501,others,A portrait of Barry Manilow,2
502,others,A portrait of Barry Manilow,3
503,others,A portrait of Barry Manilow,4
504,others,A portrait of Barry Manilow,5
505,others,An image capturing Barry Manilow at a public event,1
506,others,An image capturing Barry Manilow at a public event,2
507,others,An image capturing Barry Manilow at a public event,3
508,others,An image capturing Barry Manilow at a public event,4
509,others,An image capturing Barry Manilow at a public event,5
510,others,An oil painting of Barry Manilow,1
511,others,An oil painting of Barry Manilow,2
512,others,An oil painting of Barry Manilow,3
513,others,An oil painting of Barry Manilow,4
514,others,An oil painting of Barry Manilow,5
515,others,A sketch of Barry Manilow,1
516,others,A sketch of Barry Manilow,2
517,others,A sketch of Barry Manilow,3
518,others,A sketch of Barry Manilow,4
519,others,A sketch of Barry Manilow,5
520,others,Barry Manilow in an official photo,1
521,others,Barry Manilow in an official photo,2
522,others,Barry Manilow in an official photo,3
523,others,Barry Manilow in an official photo,4
524,others,Barry Manilow in an official photo,5
525,others,A portrait of Ben Affleck,1
526,others,A portrait of Ben Affleck,2
527,others,A portrait of Ben Affleck,3
528,others,A portrait of Ben Affleck,4
529,others,A portrait of Ben Affleck,5
530,others,An image capturing Ben Affleck at a public event,1
531,others,An image capturing Ben Affleck at a public event,2
532,others,An image capturing Ben Affleck at a public event,3
533,others,An image capturing Ben Affleck at a public event,4
534,others,An image capturing Ben Affleck at a public event,5
535,others,An oil painting of Ben Affleck,1
536,others,An oil painting of Ben Affleck,2
537,others,An oil painting of Ben Affleck,3
538,others,An oil painting of Ben Affleck,4
539,others,An oil painting of Ben Affleck,5
540,others,A sketch of Ben Affleck,1
541,others,A sketch of Ben Affleck,2
542,others,A sketch of Ben Affleck,3
543,others,A sketch of Ben Affleck,4
544,others,A sketch of Ben Affleck,5
545,others,Ben Affleck in an official photo,1
546,others,Ben Affleck in an official photo,2
547,others,Ben Affleck in an official photo,3
548,others,Ben Affleck in an official photo,4
549,others,Ben Affleck in an official photo,5
550,others,A portrait of Ben Stiller,1
551,others,A portrait of Ben Stiller,2
552,others,A portrait of Ben Stiller,3
553,others,A portrait of Ben Stiller,4
554,others,A portrait of Ben Stiller,5
555,others,An image capturing Ben Stiller at a public event,1
556,others,An image capturing Ben Stiller at a public event,2
557,others,An image capturing Ben Stiller at a public event,3
558,others,An image capturing Ben Stiller at a public event,4
559,others,An image capturing Ben Stiller at a public event,5
560,others,An oil painting of Ben Stiller,1
561,others,An oil painting of Ben Stiller,2
562,others,An oil painting of Ben Stiller,3
563,others,An oil painting of Ben Stiller,4
564,others,An oil painting of Ben Stiller,5
565,others,A sketch of Ben Stiller,1
566,others,A sketch of Ben Stiller,2
567,others,A sketch of Ben Stiller,3
568,others,A sketch of Ben Stiller,4
569,others,A sketch of Ben Stiller,5
570,others,Ben Stiller in an official photo,1
571,others,Ben Stiller in an official photo,2
572,others,Ben Stiller in an official photo,3
573,others,Ben Stiller in an official photo,4
574,others,Ben Stiller in an official photo,5
575,others,A portrait of Benicio Del Toro,1
576,others,A portrait of Benicio Del Toro,2
577,others,A portrait of Benicio Del Toro,3
578,others,A portrait of Benicio Del Toro,4
579,others,A portrait of Benicio Del Toro,5
580,others,An image capturing Benicio Del Toro at a public event,1
581,others,An image capturing Benicio Del Toro at a public event,2
582,others,An image capturing Benicio Del Toro at a public event,3
583,others,An image capturing Benicio Del Toro at a public event,4
584,others,An image capturing Benicio Del Toro at a public event,5
585,others,An oil painting of Benicio Del Toro,1
586,others,An oil painting of Benicio Del Toro,2
587,others,An oil painting of Benicio Del Toro,3
588,others,An oil painting of Benicio Del Toro,4
589,others,An oil painting of Benicio Del Toro,5
590,others,A sketch of Benicio Del Toro,1
591,others,A sketch of Benicio Del Toro,2
592,others,A sketch of Benicio Del Toro,3
593,others,A sketch of Benicio Del Toro,4
594,others,A sketch of Benicio Del Toro,5
595,others,Benicio Del Toro in an official photo,1
596,others,Benicio Del Toro in an official photo,2
597,others,Benicio Del Toro in an official photo,3
598,others,Benicio Del Toro in an official photo,4
599,others,Benicio Del Toro in an official photo,5
600,others,A portrait of Bette Midler,1
601,others,A portrait of Bette Midler,2
602,others,A portrait of Bette Midler,3
603,others,A portrait of Bette Midler,4
604,others,A portrait of Bette Midler,5
605,others,An image capturing Bette Midler at a public event,1
606,others,An image capturing Bette Midler at a public event,2
607,others,An image capturing Bette Midler at a public event,3
608,others,An image capturing Bette Midler at a public event,4
609,others,An image capturing Bette Midler at a public event,5
610,others,An oil painting of Bette Midler,1
611,others,An oil painting of Bette Midler,2
612,others,An oil painting of Bette Midler,3
613,others,An oil painting of Bette Midler,4
614,others,An oil painting of Bette Midler,5
615,others,A sketch of Bette Midler,1
616,others,A sketch of Bette Midler,2
617,others,A sketch of Bette Midler,3
618,others,A sketch of Bette Midler,4
619,others,A sketch of Bette Midler,5
620,others,Bette Midler in an official photo,1
621,others,Bette Midler in an official photo,2
622,others,Bette Midler in an official photo,3
623,others,Bette Midler in an official photo,4
624,others,Bette Midler in an official photo,5
625,others,A portrait of Betty White,1
626,others,A portrait of Betty White,2
627,others,A portrait of Betty White,3
628,others,A portrait of Betty White,4
629,others,A portrait of Betty White,5
630,others,An image capturing Betty White at a public event,1
631,others,An image capturing Betty White at a public event,2
632,others,An image capturing Betty White at a public event,3
633,others,An image capturing Betty White at a public event,4
634,others,An image capturing Betty White at a public event,5
635,others,An oil painting of Betty White,1
636,others,An oil painting of Betty White,2
637,others,An oil painting of Betty White,3
638,others,An oil painting of Betty White,4
639,others,An oil painting of Betty White,5
640,others,A sketch of Betty White,1
641,others,A sketch of Betty White,2
642,others,A sketch of Betty White,3
643,others,A sketch of Betty White,4
644,others,A sketch of Betty White,5
645,others,Betty White in an official photo,1
646,others,Betty White in an official photo,2
647,others,Betty White in an official photo,3
648,others,Betty White in an official photo,4
649,others,Betty White in an official photo,5
650,others,A portrait of Bill Murray,1
651,others,A portrait of Bill Murray,2
652,others,A portrait of Bill Murray,3
653,others,A portrait of Bill Murray,4
654,others,A portrait of Bill Murray,5
655,others,An image capturing Bill Murray at a public event,1
656,others,An image capturing Bill Murray at a public event,2
657,others,An image capturing Bill Murray at a public event,3
658,others,An image capturing Bill Murray at a public event,4
659,others,An image capturing Bill Murray at a public event,5
660,others,An oil painting of Bill Murray,1
661,others,An oil painting of Bill Murray,2
662,others,An oil painting of Bill Murray,3
663,others,An oil painting of Bill Murray,4
664,others,An oil painting of Bill Murray,5
665,others,A sketch of Bill Murray,1
666,others,A sketch of Bill Murray,2
667,others,A sketch of Bill Murray,3
668,others,A sketch of Bill Murray,4
669,others,A sketch of Bill Murray,5
670,others,Bill Murray in an official photo,1
671,others,Bill Murray in an official photo,2
672,others,Bill Murray in an official photo,3
673,others,Bill Murray in an official photo,4
674,others,Bill Murray in an official photo,5
675,others,A portrait of Bill Nye,1
676,others,A portrait of Bill Nye,2
677,others,A portrait of Bill Nye,3
678,others,A portrait of Bill Nye,4
679,others,A portrait of Bill Nye,5
